,key,rating,valid_from,valid_to
811,Spin,1519.71225631668,2017-09-23,
812,Lil Jam,1500.0,2017-09-23,2017-12-09
813,Lil Jam,1510.0,2017-12-09,2017-12-09
814,Lil Jam,1519.71225631668,2017-12-09,
815,Guti,1500.0,2017-09-23,2018-03-17
816,Guti,1490.2957805832477,2018-03-17,2018-04-12
817,Guti,1481.6762017801689,2018-04-12,
818,Nasty Ray,1500.0,2017-09-23,2020-04-04
819,Nasty Ray,1509.9917180729458,2020-04-04,2020-04-04
820,Nasty Ray,1519.4254367456458,2020-04-04,2020-04-04
821,Nasty Ray,1528.8669096016138,2020-04-04,
822,Ibot,1500.0,2017-09-23,2018-09-01
823,Ibot,1490.0,2018-09-01,2018-09-01
824,Ibot,1500.28774368332,2018-09-01,2018-12-08
825,Ibot,1490.0,2018-12-08,2019-03-15
826,Ibot,1500.28774368332,2019-03-15,2019-03-15
827,Ibot,1490.8455333853155,2019-03-15,2022-04-09
828,Ibot,1501.6744778977315,2022-04-09,2022-04-09
829,Ibot,1491.626282922814,2022-04-09,2022-04-09
830,Ibot,1501.8672512180028,2022-04-09,
831,Amin,1500.0,2017-09-23,2019-03-15
832,Amin,1490.0,2019-03-15,
833,Naim,1500.0,2017-09-23,2023-06-24
834,Naim,1490.0000137160002,2023-06-24,
835,Kalouna,1500.0,2017-09-23,2023-06-24
836,Kalouna,1490.3042725066814,2023-06-24,
837,Jet Leg,1500.0,2017-09-23,2018-12-15
838,Jet Leg,1510.0,2018-12-15,2018-12-15
839,Jet Leg,1519.71225631668,2018-12-15,2022-04-09
840,Jet Leg,1508.883311804264,2022-04-09,2022-04-09
841,Jet Leg,1518.627685239069,2022-04-09,
842,Fleau,1500.0,2017-09-23,2017-12-09
843,Fleau,1490.0,2017-12-09,2017-12-09
844,Fleau,1500.28774368332,2017-12-09,
845,Marson,1500.0,2017-09-23,2018-01-06
846,Marson,1510.0,2018-01-06,2018-01-06
847,Marson,1519.71225631668,2018-01-06,2018-01-06
848,Marson,1529.7205382437342,2018-01-06,
849,Liam,1500.0,2017-09-23,2023-06-24
850,Liam,1510.2960185560382,2023-06-24,2023-06-24
851,Liam,1520.287260086326,2023-06-24,2023-06-24
852,Liam,1529.7040085293902,2023-06-24,
853,The Wolfer,1500.0,2017-09-23,2017-09-23
854,The Wolfer,1489.7205315838,2017-09-23,2018-04-12
855,The Wolfer,1500.3035596410507,2018-04-12,2018-04-12
856,The Wolfer,1512.1234772011949,2018-04-12,2018-04-12
857,The Wolfer,1521.7746770329618,2018-04-12,2018-04-12
858,The Wolfer,1531.731185187182,2018-04-12,2018-09-01
859,The Wolfer,1521.6650400166307,2018-09-01,2018-09-01
860,The Wolfer,1531.3294192770566,2018-09-01,2018-09-01
861,The Wolfer,1541.003018480992,2018-09-01,2018-09-01
862,The Wolfer,1549.8283054144283,2018-09-01,
863,Tsukki,1500.0,2017-09-23,2017-12-09
864,Tsukki,1510.0,2017-12-09,2017-12-09
865,Tsukki,1519.71225631668,2017-12-09,2017-12-09
866,Tsukki,1529.7203000739107,2017-12-09,2020-04-04
867,Tsukki,1538.86696147174,2020-04-04,2020-04-04
868,Tsukki,1548.0380101407584,2020-04-04,
869,F-Five,1500.0,2017-09-23,2017-12-09
870,F-Five,1489.7365626273786,2017-12-09,
871,尤自裕,1500.0,2017-09-23,2017-12-09
872,尤自裕,1489.7205315838,2017-12-09,
873,Jascha,1500.0,2017-09-23,2023-11-25
874,Jascha,1490.0,2023-11-25,
875,Sprite,1500.0,2017-09-23,2020-05-23
876,Sprite,1489.9997618186087,2020-05-23,2020-05-23
877,Sprite,1500.287512351664,2020-05-23,
878,Mucha,1500.0,2017-09-23,2020-05-08
879,Mucha,1489.767365963373,2020-05-08,
880,Coppi,1500.0,2017-09-23,2019-11-30
881,Coppi,1490.590358410824,2019-11-30,
882,Lil E,1500.0,2017-09-23,2020-04-04
883,Lil E,1490.0,2020-04-04,
884,Noah,1500.0,2017-09-23,2022-10-15
885,Noah,1490.039993842234,2022-10-15,2022-10-15
886,Noah,1479.8088301342923,2022-10-15,
887,Four,1500.0,2017-09-23,2017-12-09
888,Four,1490.0080435541909,2017-12-09,2020-05-23
889,Four,1480.2955559169409,2020-05-23,2020-05-23
890,Four,1490.862088125627,2020-05-23,2020-05-23
891,Four,1501.1250377429467,2020-05-23,2020-05-23
892,Four,1511.0926566669234,2020-05-23,
893,Jeian,1500.0,2017-09-23,2020-05-08
894,Jeian,1510.0,2020-05-08,2020-05-08
895,Jeian,1500.0,2020-05-08,2020-05-08
896,Jeian,1510.0,2020-05-08,2020-05-08
897,Jeian,1519.7604757436636,2020-05-08,
898,Buch,1500.0,2017-09-23,2023-06-24
899,Buch,1510.28774368332,2023-06-24,2023-06-24
900,Buch,1519.9917251272818,2023-06-24,2023-06-24
901,Buch,1509.4169512322633,2023-06-24,
902,Angerer,1500.0,2017-09-23,2020-01-18
903,Angerer,1490.05508431155,2020-01-18,
904,Lia,1500.0,2017-09-23,2022-10-15
905,Lia,1490.0597935606381,2022-10-15,
906,Katsuya,1500.0,2017-09-23,2018-04-07
907,Katsuya,1490.0,2018-04-07,
908,Danger,1500.0,2017-09-23,2021-09-18
909,Danger,1489.7124944925013,2021-09-18,
910,Bboy Army,1500.0,2017-09-23,2018-04-07
911,Bboy Army,1490.0,2018-04-07,
912,Speedy,1500.0,2017-09-23,2022-04-09
913,Speedy,1490.0760614945793,2022-04-09,
914,Jonny,1500.0,2017-09-23,2022-04-09
915,Jonny,1490.28774368332,2022-04-09,2022-04-09
916,Jonny,1500.56721209952,2022-04-09,
917,Donjelo,1500.0,2017-09-23,2018-04-12
918,Donjelo,1490.0,2018-04-12,
919,Tree strike,1500.0,2017-09-23,2023-06-24
920,Tree strike,1490.5832515569357,2023-06-24,
921,Ayumi,1500.0,2017-09-23,2017-11-04
922,Ayumi,1490.0,2017-11-04,2018-04-07
923,Ayumi,1500.28774368332,2018-04-07,2018-04-07
924,Ayumi,1490.5669741153965,2018-04-07,2018-04-07
925,Ayumi,1500.8384117320948,2018-04-07,
926,Mattix,1500.0,2017-09-23,2019-03-15
927,Mattix,1510.0,2019-03-15,2019-03-15
928,Mattix,1519.71225631668,2019-03-15,2019-03-15
929,Mattix,1529.14549997581,2019-03-15,2021-09-18
930,Mattix,1538.3085872825525,2021-09-18,2021-09-18
931,Mattix,1547.7738524040526,2021-09-18,
932,Weapon X,1500.0,2017-09-23,2020-04-04
933,Weapon X,1489.7205315838,2020-04-04,
934,Elia,1500.0,2017-09-23,2018-09-01
935,Elia,1510.0,2018-09-01,2018-09-01
936,Elia,1499.71225631668,2018-09-01,
937,WillyRoc,1500.0,2017-09-23,2020-05-23
938,WillyRoc,1490.0174554028856,2020-05-23,
939,Samuel,1500.0,2017-09-23,2022-10-15
940,Samuel,1489.433056353564,2022-10-15,2022-10-15
941,Samuel,1499.7531822070287,2022-10-15,2022-10-15
942,Samuel,1509.464030236904,2022-10-15,
943,Marci Marc,1500.0,2017-09-23,2018-04-12
944,Marci Marc,1490.0,2018-04-12,
945,Flowness,1500.0,2017-09-23,2023-06-24
946,Flowness,1490.2875055074987,2023-06-24,
947,Kaku,1500.0,2017-09-23,2018-04-07
948,Kaku,1510.0,2018-04-07,2018-04-07
949,Kaku,1500.550501335156,2018-04-07,
950,Seal,1500.0,2017-09-23,2018-12-08
951,Seal,1489.472364249957,2018-12-08,
952,MatyS,1500.0,2017-09-23,2019-03-15
953,MatyS,1489.7205315838,2019-03-15,
