,key,rating,valid_from,valid_to,ranking,deviation,volatility
0,梨虹,"(1500.0, 350.0, 0.06)",2017-05-11,2019-04-20,1500.0,350.0,0.06
1,梨虹,"(1329.1278237839922, 275.86130044209125, 0.06)",2019-04-20,,1329.1278237839922,275.86130044209125,0.06
2,Sarah Bee,"(1500.0, 350.0, 0.06)",2017-05-11,2019-09-14,1500.0,350.0,0.06
3,Sarah Bee,"(1412.4160822805184, 284.4596401761969, 0.05999876568641454)",2019-09-14,2019-09-14,1412.4160822805184,284.4596401761969,0.05999876568641454
4,Sarah Bee,"(1524.992142298134, 233.54842893908142, 0.059998017690991896)",2019-09-14,2019-09-14,1524.992142298134,233.54842893908142,0.059998017690991896
5,Sarah Bee,"(1550.2133486784123, 220.37618864876254, 0.05999719445935441)",2019-09-14,2022-05-26,1550.2133486784123,220.37618864876254,0.05999719445935441
6,Sarah Bee,"(1538.0965077768635, 213.6972035335242, 0.05999667369353496)",2022-05-26,2022-05-26,1538.0965077768635,213.6972035335242,0.05999667369353496
7,Sarah Bee,"(1527.5779498638065, 208.10186017680704, 0.05999619134717288)",2022-05-26,2022-05-26,1527.5779498638065,208.10186017680704,0.05999619134717288
8,Sarah Bee,"(1483.6064634716854, 187.97868470652153, 0.059994681131979616)",2022-05-26,2022-05-26,1483.6064634716854,187.97868470652153,0.059994681131979616
9,Sarah Bee,"(1528.473937468818, 175.62155502557079, 0.05999382862951069)",2022-05-26,2022-05-26,1528.473937468818,175.62155502557079,0.05999382862951069
10,Sarah Bee,"(1589.5168001427264, 162.85780196126638, 0.05999377832836594)",2022-05-26,2022-05-26,1589.5168001427264,162.85780196126638,0.05999377832836594
11,Sarah Bee,"(1621.7849453856068, 152.8678586231171, 0.05999244480696294)",2022-05-26,2022-05-26,1621.7849453856068,152.8678586231171,0.05999244480696294
12,Sarah Bee,"(1669.1764982550876, 143.75324608065057, 0.05999208639829497)",2022-05-26,2022-05-26,1669.1764982550876,143.75324608065057,0.05999208639829497
13,Sarah Bee,"(1694.8110658602577, 139.37485448366698, 0.05999143535273581)",2022-05-26,2022-10-21,1694.8110658602577,139.37485448366698,0.05999143535273581
14,Sarah Bee,"(1637.069247273815, 131.28763474945075, 0.059992109387635224)",2022-10-21,2022-10-21,1637.069247273815,131.28763474945075,0.059992109387635224
15,Sarah Bee,"(1630.7530709474845, 129.5870750090988, 0.05999141769112949)",2022-10-21,2022-10-21,1630.7530709474845,129.5870750090988,0.05999141769112949
16,Sarah Bee,"(1569.1314335238876, 124.94152685657828, 0.059994978656064464)",2022-10-21,2022-10-21,1569.1314335238876,124.94152685657828,0.059994978656064464
17,Sarah Bee,"(1604.9478997392525, 118.6884693690397, 0.059994534122127276)",2022-10-21,2022-10-21,1604.9478997392525,118.6884693690397,0.059994534122127276
18,Sarah Bee,"(1632.1162194805706, 114.0137844976219, 0.05999361886492723)",2022-10-21,2022-11-05,1632.1162194805706,114.0137844976219,0.05999361886492723
19,Sarah Bee,"(1605.9023094081936, 109.43666514216237, 0.05999255085819682)",2022-11-05,2022-11-05,1605.9023094081936,109.43666514216237,0.05999255085819682
20,Sarah Bee,"(1624.01205239342, 106.37718867950616, 0.059991320150784164)",2022-11-05,2022-11-05,1624.01205239342,106.37718867950616,0.059991320150784164
21,Sarah Bee,"(1588.763567387082, 102.74745355392537, 0.0599923594543969)",2022-11-05,2022-11-05,1588.763567387082,102.74745355392537,0.0599923594543969
22,Sarah Bee,"(1603.7240172352083, 100.19316689826816, 0.05999090677532229)",2022-11-05,2023-02-24,1603.7240172352083,100.19316689826816,0.05999090677532229
23,Sarah Bee,"(1573.103290744696, 98.75814173731146, 0.05999304038530692)",2023-02-24,2023-04-06,1573.103290744696,98.75814173731146,0.05999304038530692
24,Sarah Bee,"(1561.2910691424745, 96.7826622405786, 0.059991531904280755)",2023-04-06,2023-04-06,1561.2910691424745,96.7826622405786,0.059991531904280755
25,Sarah Bee,"(1573.929371543721, 94.90178605283354, 0.05999010875840308)",2023-04-06,2023-04-06,1573.929371543721,94.90178605283354,0.05999010875840308
26,Sarah Bee,"(1590.3534820241493, 93.4608747468003, 0.05998958156730984)",2023-04-06,2023-07-05,1590.3534820241493,93.4608747468003,0.05998958156730984
27,Sarah Bee,"(1599.638075756914, 92.65384766945559, 0.059988682130690245)",2023-07-05,2023-07-05,1599.638075756914,92.65384766945559,0.059988682130690245
28,Sarah Bee,"(1619.6985455601266, 91.50345373501867, 0.05998910904990026)",2023-07-05,2023-07-05,1619.6985455601266,91.50345373501867,0.05998910904990026
29,Sarah Bee,"(1641.7212012631064, 90.18190011225886, 0.059989783994531316)",2023-07-05,,1641.7212012631064,90.18190011225886,0.059989783994531316
