,key,rating,valid_from,valid_to
1250,Ghost Hawk,1490.3512240630455,2022-05-26,2022-05-26
1251,Ghost Hawk,1500.6371841148475,2022-05-26,
1252,Titris,1500.0,2017-05-11,2019-03-16
1253,Titris,1489.7374808092327,2019-03-16,
1254,Bastos,1500.0,2017-05-11,2022-05-26
1255,Bastos,1490.2707505798203,2022-05-26,
1256,Eco,1500.0,2017-05-11,2017-12-02
1257,Eco,1490.0,2017-12-02,2017-12-02
1258,Eco,1500.0082819270542,2017-12-02,2017-12-02
1259,Eco,1489.736599849689,2017-12-02,
1260,Ko-taro,1500.0,2017-05-11,2023-06-25
1261,Ko-taro,1510.0,2023-06-25,2023-06-25
1262,Ko-taro,1499.9842494839231,2023-06-25,
1263,Jasper,1500.0,2017-05-11,2022-10-21
1264,Jasper,1490.2966712227467,2022-10-21,2022-10-21
1265,Jasper,1501.370525725268,2022-10-21,
1266,Töma,1500.0,2017-05-11,2022-04-16
1267,Töma,1489.71225631668,2022-04-16,
1268,Dado,1500.0,2017-05-11,2023-06-07
1269,Dado,1490.0,2023-06-07,2023-06-07
1270,Dado,1480.5912683617862,2023-06-07,
1271,Huey Flava,1500.0,2017-05-11,2019-04-24
1272,Huey Flava,1510.0,2019-04-24,2019-04-24
1273,Huey Flava,1500.0,2019-04-24,2019-04-24
1274,Huey Flava,1510.2948581892133,2019-04-24,2019-04-24
1275,Huey Flava,1500.2780895750948,2019-04-24,
1276,Airmax,1500.0,2017-05-11,2023-10-14
1277,Airmax,1490.5291454954433,2023-10-14,2023-10-14
1278,Airmax,1500.5056402304315,2023-10-14,
1279,Deeogo,1500.0,2017-05-11,2021-06-26
1280,Deeogo,1489.7212316584075,2021-06-26,2021-06-26
1281,Deeogo,1500.0169921095153,2021-06-26,2021-06-26
1282,Deeogo,1510.0165030372898,2021-06-26,2021-12-04
1283,Deeogo,1499.999714330318,2021-12-04,2021-12-04
1284,Deeogo,1490.2953833757826,2021-12-04,2021-12-04
1285,Deeogo,1480.574632075561,2021-12-04,2022-10-21
1286,Deeogo,1491.133157244939,2022-10-21,2022-10-21
1287,Deeogo,1482.4812551376936,2022-10-21,2022-11-05
1288,Deeogo,1492.7211192078187,2022-11-05,2022-11-05
1289,Deeogo,1482.9378069288728,2022-11-05,2022-11-05
1290,Deeogo,1475.9399169250958,2022-11-05,2022-11-05
1291,Deeogo,1486.4310637506917,2022-11-05,2022-11-05
1292,Deeogo,1496.6875216774558,2022-11-05,
1293,Echo,1500.0,2017-05-11,2019-04-13
1294,Echo,1490.0,2019-04-13,
1295,Classik Talent,1500.0,2017-05-11,2017-05-11
1296,Classik Talent,1490.0,2017-05-11,2017-05-11
1297,Classik Talent,1480.5832654286248,2017-05-11,2017-05-11
1298,Classik Talent,1470.8539962903665,2017-05-11,
1299,DeadlyDani,1500.0,2017-05-11,2022-07-08
1300,DeadlyDani,1489.7124874402123,2022-07-08,2023-10-14
1301,DeadlyDani,1479.7359927052241,2023-10-14,
1302,Spin,1500.0,2017-05-11,2023-06-07
1303,Spin,1489.71225631668,2023-06-07,
1304,PVL,1500.0,2017-05-11,2023-10-14
1305,PVL,1491.1827121895872,2023-10-14,
1306,Rerunn,1500.0,2017-05-11,2017-06-10
1307,Rerunn,1490.844670455618,2017-06-10,2017-06-10
1308,Rerunn,1500.836902209717,2017-06-10,2017-06-10
1309,Rerunn,1510.2609147512235,2017-06-10,2017-12-17
1310,Rerunn,1502.0597768751074,2017-12-17,2017-12-17
1311,Rerunn,1511.5118069086307,2017-12-17,2017-12-17
1312,Rerunn,1519.8913901385306,2017-12-17,2018-05-20
1313,Rerunn,1529.3594578245254,2018-05-20,2018-05-20
1314,Rerunn,1521.26349809677,2018-05-20,2018-05-20
1315,Rerunn,1531.2473060935556,2018-05-20,
1316,Rsn,1500.0,2017-05-11,2022-10-21
1317,Rsn,1489.9882553050145,2022-10-21,
1318,Pramsick,1500.0,2017-05-11,2019-04-24
1319,Pramsick,1510.2910503684686,2019-04-24,2019-04-24
1320,Pramsick,1500.2826732674314,2019-04-24,
1321,Cün8,1500.0,2017-05-11,2023-06-24
1322,Cün8,1489.7042194167523,2023-06-24,
1323,Roc Lee,1500.0,2017-05-11,2022-04-16
1324,Roc Lee,1489.991956254121,2022-04-16,
1325,Gog,1500.0,2017-05-11,2017-12-02
1326,Gog,1510.0,2017-12-02,2017-12-02
1327,Gog,1519.71225631668,2017-12-02,2017-12-02
1328,Gog,1509.14549997581,2017-12-02,2018-05-20
1329,Gog,1500.4309197774999,2018-05-20,2018-05-20
1330,Gog,1491.5832389481448,2018-05-20,2018-05-20
1331,Gog,1484.0946681590544,2018-05-20,
1332,Kimba,1500.0,2017-05-11,2023-06-07
1333,Kimba,1510.0,2023-06-07,
1334,KaZuMi,1500.0,2017-05-11,2019-08-17
1335,KaZuMi,1490.0,2019-08-17,
1336,Scugnizzu,1500.0,2017-05-11,2023-06-07
1337,Scugnizzu,1489.729030940106,2023-06-07,
1338,Comix,1500.0,2017-05-11,2023-06-07
1339,Comix,1490.0,2023-06-07,
1340,Jet Leg,1500.0,2017-05-11,2022-11-05
1341,Jet Leg,1492.9689830937905,2022-11-05,2022-11-05
1342,Jet Leg,1483.8328319251668,2022-11-05,2022-11-05
1343,Jet Leg,1494.2413203281737,2022-11-05,2022-11-05
1344,Jet Leg,1504.7376751851907,2022-11-05,2022-11-05
1345,Jet Leg,1516.9058675226772,2022-11-05,
1346,Erik Daily,1500.0,2017-05-11,2022-07-08
1347,Erik Daily,1489.1919508614353,2022-07-08,2023-10-14
1348,Erik Daily,1500.7669206868293,2023-10-14,2023-10-14
1349,Erik Daily,1491.5455012602686,2023-10-14,2023-10-14
1350,Erik Daily,1501.7887932754697,2023-10-14,2023-10-14
1351,Erik Daily,1512.037792237456,2023-10-14,2023-10-14
1352,Erik Daily,1521.1799662437834,2023-10-14,
1353,Liam,1500.0,2017-05-11,2023-03-05
1354,Liam,1489.168515743147,2023-03-05,
1355,Coolboy,1500.0,2017-05-11,2023-04-21
1356,Coolboy,1489.1740111484633,2023-04-21,
1357,Tunde,1500.0,2017-05-11,2021-06-26
