,key,rating,valid_from,valid_to
100,Ramona,1500.0,2017-05-11,2019-06-23
101,Ramona,1490.8369126932575,2019-06-23,2019-06-23
102,Ramona,1481.1010556011381,2019-06-23,2019-06-23
103,Ramona,1491.0852077327402,2019-06-23,
104,Anka,1500.0,2017-05-11,2023-02-19
105,Anka,1510.0,2023-02-19,2023-02-19
106,Anka,1498.879902361198,2023-02-19,
107,Starry,1500.0,2017-05-11,2022-10-21
108,Starry,1493.0249237853802,2022-10-21,2023-04-06
109,Starry,1501.5184059463015,2023-04-06,2023-04-06
110,Starry,1491.9298558137907,2023-04-06,
111,Esthalavista,1500.0,2017-05-11,2022-04-16
112,Esthalavista,1509.7207695679235,2022-04-16,2022-04-16
113,Esthalavista,1500.0161202127288,2022-04-16,2022-04-16
114,Esthalavista,1510.2863824318822,2022-04-16,
115,Alicia Anais,1500.0,2017-05-11,2022-05-26
116,Alicia Anais,1490.1138711446763,2022-05-26,2022-05-26
117,Alicia Anais,1484.108353770636,2022-05-26,2022-05-26
118,Alicia Anais,1472.9948006164827,2022-05-26,2022-05-26
119,Alicia Anais,1464.0010615126857,2022-05-26,2022-05-26
120,Alicia Anais,1455.0335022317959,2022-05-26,2022-05-26
121,Alicia Anais,1446.3205637500575,2022-05-26,2022-05-26
122,Alicia Anais,1457.8534047643268,2022-05-26,2022-10-21
123,Alicia Anais,1448.8118445623675,2022-10-21,2022-11-05
124,Alicia Anais,1440.2816693272273,2022-11-05,2023-04-06
125,Alicia Anais,1431.788187166306,2023-04-06,
126,Tiff,1500.0,2017-05-11,2021-12-04
127,Tiff,1489.8209176743921,2021-12-04,2021-12-04
128,Tiff,1483.501425710975,2021-12-04,2021-12-04
129,Tiff,1493.4883040501702,2021-12-04,2022-07-10
130,Tiff,1483.927925969374,2022-07-10,2022-07-10
131,Tiff,1494.6940905651738,2022-07-10,2022-07-10
132,Tiff,1486.854038819637,2022-07-10,2022-07-10
133,Tiff,1496.2383942427546,2022-07-10,2022-10-21
134,Tiff,1487.0746267534148,2022-10-21,2022-10-21
135,Tiff,1497.2488433043236,2022-10-21,2023-02-24
136,Tiff,1488.0018449477034,2023-02-24,
137,Naomi,1500.0,2017-05-11,2022-07-08
138,Naomi,1489.7288026120154,2022-07-08,2022-07-08
139,Naomi,1500.0243453440362,2022-07-08,
140,Agt,1500.0,2017-05-11,2022-05-26
141,Agt,1490.5197800029446,2022-05-26,2022-05-26
142,Agt,1481.057391799457,2022-05-26,2022-05-26
143,Agt,1491.2993884529626,2022-05-26,2022-05-26
144,Agt,1501.5497598480786,2022-05-26,
145,Vicky,1500.0,2017-05-11,2017-05-11
146,Vicky,1510.0167875310608,2017-05-11,2017-05-11
147,Vicky,1500.8601129433946,2017-05-11,2017-05-11
148,Vicky,1510.2775834787935,2017-05-11,2018-05-20
149,Vicky,1500.9832133209914,2018-05-20,2018-05-20
150,Vicky,1509.6498647400367,2018-05-20,2018-05-20
151,Vicky,1500.681384509524,2018-05-20,2018-10-11
152,Vicky,1509.9117173235766,2018-10-11,2018-10-11
153,Vicky,1500.311043534218,2018-10-11,2018-10-11
154,Vicky,1493.7037526751612,2018-10-11,2018-10-11
155,Vicky,1487.4285825558363,2018-10-11,2023-03-05
156,Vicky,1477.494944756283,2023-03-05,
157,Spidergirl,1500.0,2017-05-11,2022-11-05
158,Spidergirl,1491.4502476811736,2022-11-05,2022-11-05
159,Spidergirl,1501.4211858967938,2022-11-05,2022-11-05
160,Spidergirl,1512.030880554957,2022-11-05,2022-11-05
161,Spidergirl,1521.8578390402417,2022-11-05,2022-11-05
162,Spidergirl,1512.976111954254,2022-11-05,2023-06-07
163,Spidergirl,1522.8904546615254,2023-06-07,2023-06-07
164,Spidergirl,1531.9384015813662,2023-06-07,
165,Saretta,1500.0,2017-05-11,2023-06-07
166,Saretta,1489.71225631668,2023-06-07,2023-06-07
167,Saretta,1499.7288201594272,2023-06-07,
168,Jin,1500.0,2017-05-11,2023-06-24
169,Jin,1489.712812567967,2023-06-24,2023-06-24
170,Jin,1499.7299006101114,2023-06-24,
171,Yurie,1500.0,2017-05-11,2019-04-20
172,Yurie,1489.71225631668,2019-04-20,2019-08-17
173,Yurie,1480.5903361140406,2019-08-17,2019-08-17
174,Yurie,1491.148410693731,2019-08-17,2022-11-11
175,Yurie,1501.1146871223118,2022-11-11,2022-11-11
176,Yurie,1492.3116739449486,2022-11-11,
177,Miimo,1500.0,2017-05-11,2021-06-26
178,Miimo,1488.2661806341214,2021-06-26,2021-12-04
179,Miimo,1478.599359646205,2021-12-04,2021-12-04
180,Miimo,1469.418043998946,2021-12-04,2021-12-04
181,Miimo,1459.449245786453,2021-12-04,
182,Chili,1500.0,2017-05-11,2023-06-24
183,Chili,1490.28774368332,2023-06-24,2023-06-24
184,Chili,1500.2711798405728,2023-06-24,
185,Sunny,1500.0,2017-05-11,2019-04-20
186,Sunny,1510.28774368332,2019-04-20,2019-04-20
187,Sunny,1519.9917251272818,2019-04-20,2019-04-20
188,Sunny,1533.5869395399375,2019-04-20,2019-06-23
189,Sunny,1523.7228311205258,2019-06-23,2019-06-23
190,Sunny,1533.3197928065294,2019-06-23,2019-06-23
191,Sunny,1541.8051524606979,2019-06-23,2019-06-23
192,Sunny,1550.0302857992624,2019-06-23,2019-06-23
193,Sunny,1558.896495786298,2019-06-23,2019-09-14
194,Sunny,1549.7679383192622,2019-09-14,2019-09-14
195,Sunny,1559.561259734467,2019-09-14,2019-09-14
196,Sunny,1568.673800609305,2019-09-14,2019-09-14
197,Sunny,1575.7003202351646,2019-09-14,2019-09-14
198,Sunny,1583.5993590031856,2019-09-14,2020-11-28
199,Sunny,1570.542352112132,2020-11-28,2021-12-04
200,Sunny,1558.070520019299,2021-12-04,2021-12-04
201,Sunny,1566.1364906708163,2021-12-04,2021-12-04
202,Sunny,1574.5520222520654,2021-12-04,2021-12-04
203,Sunny,1583.6608808001258,2021-12-04,2022-07-10
204,Sunny,1591.7619104039406,2022-07-10,2022-07-10
205,Sunny,1585.2278008360327,2022-07-10,2022-07-10
206,Sunny,1593.4264527657072,2022-07-10,2022-07-10
207,Sunny,1601.7626511308727,2022-07-10,2022-07-10
208,Sunny,1609.311517611867,2022-07-10,2022-07-10
209,Sunny,1615.2584965281285,2022-07-10,2022-10-21
210,Sunny,1606.8678407607524,2022-10-21,2022-10-21
211,Sunny,1614.43385610097,2022-10-21,2022-10-21
212,Sunny,1621.7872646166531,2022-10-21,2022-10-21
213,Sunny,1608.4904933393732,2022-10-21,2022-10-21
214,Sunny,1615.465569553993,2022-10-21,2022-10-21
215,Sunny,1622.3013311293669,2022-10-21,2022-11-11
216,Sunny,1610.8937897894775,2022-11-11,2022-11-11
217,Sunny,1617.837071619208,2022-11-11,2022-11-11
218,Sunny,1624.5697778629465,2022-11-11,2022-11-12
219,Sunny,1630.5249958328852,2022-11-12,2022-11-12
220,Sunny,1638.9635365572415,2022-11-12,2022-11-12
221,Sunny,1626.8420127614395,2022-11-12,2023-02-24
222,Sunny,1615.2888803301216,2023-02-24,2023-02-24
223,Sunny,1609.0512570869753,2023-02-24,2023-02-24
224,Sunny,1598.232914728936,2023-02-24,2023-02-24
225,Sunny,1608.8609234734529,2023-02-24,2023-02-24
226,Sunny,1616.067299457499,2023-02-24,2023-02-24
227,Sunny,1623.7624564708574,2023-02-24,
228,Flexie,1500.0,2017-05-11,2017-05-11
229,Flexie,1489.71225631668,2017-05-11,2017-05-11
230,Flexie,1499.7283310647924,2017-05-11,
231,Emélia,1500.0,2017-05-11,2017-05-11
232,Emélia,1509.71225631668,2017-05-11,2017-05-11
233,Emélia,1499.7205382437342,2017-05-11,2017-05-11
234,Emélia,1490.01747234329,2017-05-11,
235,Annasty,1500.0,2017-05-11,2019-08-17
236,Annasty,1511.3279187233607,2019-08-17,2019-08-17
237,Annasty,1521.0019904974629,2019-08-17,2019-08-17
238,Annasty,1510.3982398150774,2019-08-17,
239,B-Nice,1500.0,2017-05-11,2023-04-06
240,B-Nice,1489.71225631668,2023-04-06,
241,Missy,1500.0,2017-05-11,2023-06-23
242,Missy,1489.6157583854906,2023-06-23,
243,Sabri,1500.0,2017-05-11,2018-12-15
244,Sabri,1489.481039958386,2018-12-15,
245,Groovy,1500.0,2017-05-11,2021-06-26
246,Groovy,1489.0444982050092,2021-06-26,2021-12-04
247,Groovy,1478.3585289736295,2021-12-04,2021-12-04
248,Groovy,1468.9806162352027,2021-12-04,
249,Royal,1500.0,2017-05-11,2022-10-21
250,Royal,1510.0,2022-10-21,2022-10-21
251,Royal,1499.7811884129972,2022-10-21,
252,Pebblz Luv,1500.0,2017-05-11,2023-04-06
253,Pebblz Luv,1490.0022175837616,2023-04-06,
254,Je Jè,1500.0,2017-05-11,2022-04-09
255,Je Jè,1510.0,2022-04-09,2022-04-09
256,Je Jè,1499.71225631668,2022-04-09,
257,Coco,1500.0,2017-05-11,2017-12-02
258,Coco,1490.0,2017-12-02,2017-12-02
259,Coco,1480.28774368332,2017-12-02,2017-12-02
260,Coco,1470.85450002419,2017-12-02,
261,Monse,1500.0,2017-05-11,2023-04-06
262,Monse,1491.802886674646,2023-04-06,
263,Bereaved Neeli,1500.0,2017-05-11,2023-10-14
264,Bereaved Neeli,1509.9796672904795,2023-10-14,2023-10-14
265,Bereaved Neeli,1500.0365177870126,2023-10-14,
266,Kyoka,1500.0,2017-05-11,2023-06-25
267,Kyoka,1490.0,2023-06-25,2023-06-25
268,Kyoka,1500.28774368332,2023-06-25,
269,Evita,1500.0,2017-05-11,2023-03-05
270,Evita,1489.8228601175674,2023-03-05,
271,Mery Berry,1500.0,2017-05-11,2021-10-14
272,Mery Berry,1490.0,2021-10-14,2021-12-04
273,Mery Berry,1479.995444801377,2021-12-04,2021-12-04
274,Mery Berry,1470.5021086481215,2021-12-04,2021-12-04
275,Mery Berry,1480.4709068606144,2021-12-04,2022-05-26
276,Mery Berry,1471.5415688727555,2022-05-26,2022-05-26
277,Mery Berry,1482.3588414216429,2022-05-26,2022-05-26
278,Mery Berry,1492.6682230623624,2022-05-26,2022-05-26
279,Mery Berry,1482.346688113901,2022-05-26,2022-07-10
280,Mery Berry,1472.8870722912684,2022-07-10,2022-07-10
281,Mery Berry,1465.4372701929626,2022-07-10,2022-07-10
282,Mery Berry,1456.052914769845,2022-07-10,2022-11-05
283,Mery Berry,1447.2665426320964,2022-11-05,2023-02-19
284,Mery Berry,1459.0527867792491,2023-02-19,2023-02-19
285,Mery Berry,1450.0141204959948,2023-02-19,2023-02-19
286,Mery Berry,1461.442984723627,2023-02-19,
287,Carlota,1500.0,2017-05-11,2017-05-11
288,Carlota,1510.0,2017-05-11,2017-05-11
289,Carlota,1519.983687455696,2017-05-11,2017-05-11
290,Carlota,1509.409144139493,2017-05-11,2017-05-11
291,Carlota,1519.1383933895095,2017-05-11,2018-05-20
292,Carlota,1527.7575493422505,2018-05-20,2018-05-20
293,Carlota,1537.730504793477,2018-05-20,2018-05-20
294,Carlota,1528.0416229546124,2018-05-20,2018-05-20
295,Carlota,1518.8327131244134,2018-05-20,2018-10-11
296,Carlota,1526.7801174608503,2018-10-11,2018-10-11
297,Carlota,1516.2541628558365,2018-10-11,2018-10-11
298,Carlota,1525.6108629460482,2018-10-11,2018-10-11
299,Carlota,1516.7848964413247,2018-10-11,2021-06-26
300,Carlota,1506.302163784267,2021-06-26,2021-12-04
301,Carlota,1516.7589218482349,2021-12-04,2021-12-04
302,Carlota,1508.3145634959712,2021-12-04,2021-12-04
303,Carlota,1518.0752967960623,2021-12-04,2022-05-26
304,Carlota,1527.5555167931177,2022-05-26,2022-05-26
305,Carlota,1536.9667100083648,2022-05-26,2022-05-26
306,Carlota,1546.038976545978,2022-05-26,2022-05-26
307,Carlota,1534.809305403566,2022-05-26,2022-05-26
308,Carlota,1543.2229676698055,2022-05-26,2022-05-26
309,Carlota,1551.9852891705655,2022-05-26,2022-05-26
310,Carlota,1560.7406958118113,2022-05-26,2022-05-26
311,Carlota,1568.9604622768297,2022-05-26,2022-05-26
312,Carlota,1576.7053049309432,2022-05-26,2022-05-26
313,Carlota,1584.7729329710298,2022-05-26,2022-07-10
314,Carlota,1575.9497181320824,2022-07-10,2022-07-10
315,Carlota,1563.489407561626,2022-07-10,2022-07-10
316,Carlota,1570.9392096599317,2022-07-10,2022-07-10
317,Carlota,1578.7792614054686,2022-07-10,2022-10-21
318,Carlota,1567.209483319877,2022-10-21,2022-10-21
319,Carlota,1561.366941928261,2022-10-21,2022-10-21
320,Carlota,1570.373625729993,2022-10-21,2022-10-21
321,Carlota,1577.6768758091384,2022-10-21,2022-10-21
322,Carlota,1585.1676546649855,2022-10-21,2022-10-21
323,Carlota,1572.772339251878,2022-10-21,2022-11-05
324,Carlota,1561.3046539749266,2022-11-05,2022-11-11
325,Carlota,1550.923131497304,2022-11-11,2022-11-12
326,Carlota,1539.321298067433,2022-11-12,2023-02-24
327,Carlota,1548.062395101821,2023-02-24,2023-02-24
328,Carlota,1539.8793280308762,2023-02-24,2023-02-24
329,Carlota,1549.8675863849612,2023-02-24,2023-07-05
330,Carlota,1558.4420575559484,2023-07-05,2023-07-05
331,Carlota,1566.7756471209866,2023-07-05,2023-07-05
332,Carlota,1574.877010181357,2023-07-05,
333,Tinie Rawk,1500.0,2017-05-11,2019-04-24
334,Tinie Rawk,1490.0161009897645,2019-04-24,
335,Kami,1500.0,2017-05-11,2020-11-28
336,Kami,1490.8741297387671,2020-11-28,2023-04-06
337,Kami,1481.1367330099226,2023-04-06,
338,梨虹,1500.0,2017-05-11,2019-04-20
339,梨虹,1489.9917180729458,2019-04-20,
340,casc8,1500.0,2017-05-11,2023-04-21
341,casc8,1490.5803297166228,2023-04-21,
342,Yasmin Tee,1500.0,2017-05-11,2023-07-08
343,Yasmin Tee,1490.321866040411,2023-07-08,2023-07-08
344,Yasmin Tee,1498.9225195766319,2023-07-08,
345,koharu,1500.0,2017-05-11,2023-06-25
346,koharu,1510.28774368332,2023-06-25,2023-06-25
347,koharu,1520.2794617562658,2023-06-25,
348,Ram,1500.0,2017-05-11,2017-12-02
349,Ram,1510.0,2017-12-02,2017-12-02
350,Ram,1520.2721292897204,2017-12-02,2017-12-02
351,Ram,1529.9682852695405,2017-12-02,2017-12-02
352,Ram,1539.6725235779008,2017-12-02,2017-12-02
353,Ram,1548.2365155527393,2017-12-02,2018-05-20
354,Ram,1555.58446332885,2018-05-20,2018-05-20
355,Ram,1564.793373159049,2018-05-20,2018-05-20
356,Ram,1574.512797519969,2018-05-20,2018-05-20
357,Ram,1582.868060352425,2018-05-20,2018-05-20
358,Ram,1592.1601701086333,2018-05-20,2018-05-20
359,Ram,1600.6750056192775,2018-05-20,2018-10-11
360,Ram,1607.349317003407,2018-10-11,2018-10-11
361,Ram,1615.4207105981366,2018-10-11,2018-10-11
362,Ram,1623.0490482459513,2018-10-11,2018-10-11
363,Ram,1629.656339105008,2018-10-11,2018-10-11
364,Ram,1635.931509224333,2018-10-11,2018-10-11
365,Ram,1644.6835202602808,2018-10-11,2019-04-20
366,Ram,1650.744311465313,2019-04-20,2019-04-20
367,Ram,1637.1490970526575,2019-04-20,2019-08-17
368,Ram,1623.1579870063808,2019-08-17,2021-11-05
369,Ram,1611.9896858776247,2021-11-05,2021-11-05
370,Ram,1619.1295054720388,2021-11-05,2022-10-21
371,Ram,1610.043331188364,2022-10-21,2022-10-21
372,Ram,1617.2438520112773,2022-10-21,
373,Lluvia,1500.0,2017-05-11,2019-06-23
374,Lluvia,1489.7205315838,2019-06-23,2019-06-23
375,Lluvia,1479.729045219683,2019-06-23,2019-06-23
376,Lluvia,1470.6067866259434,2019-06-23,
377,Jayda,1500.0,2017-05-11,2023-07-08
378,Jayda,1490.0,2023-07-08,2023-07-08
379,Jayda,1480.28774368332,2023-07-08,2023-07-08
380,Jayda,1471.5253611332944,2023-07-08,
381,Yuina,1500.0,2017-05-11,2022-10-21
382,Yuina,1489.7051177225771,2022-10-21,2023-04-06
383,Yuina,1480.0175168257936,2023-04-06,2023-04-06
384,Yuina,1490.3755922984635,2023-04-06,
385,A Ni,1500.0,2017-05-11,2022-05-26
386,A Ni,1490.0,2022-05-26,
387,Becca,1500.0,2017-05-11,2022-11-05
388,Becca,1490.979082884977,2022-11-05,2022-11-05
389,Becca,1481.1247951455973,2022-11-05,2022-11-05
390,Becca,1490.756377910782,2022-11-05,2022-11-05
391,Becca,1481.7910668787808,2022-11-05,
392,Stitch,1500.0,2017-05-11,2022-10-21
393,Stitch,1489.7517691704722,2022-10-21,2022-10-21
394,Stitch,1500.046651447895,2022-10-21,
395,Sinaya,1500.0,2017-05-11,2022-04-09
396,Sinaya,1510.28774368332,2022-04-09,2022-04-09
397,Sinaya,1519.9917251272818,2022-04-09,2022-04-09
398,Sinaya,1509.408278623617,2022-04-09,2022-04-16
399,Sinaya,1499.1380164044635,2022-04-16,2022-05-26
400,Sinaya,1489.7997513699024,2022-05-26,2022-05-26
401,Sinaya,1479.9579860274198,2022-05-26,2022-05-26
402,Sinaya,1490.1956449735314,2022-05-26,2022-05-26
403,Sinaya,1499.9437774828384,2022-05-26,2023-04-21
404,Sinaya,1510.4952127439087,2023-04-21,2023-04-21
405,Sinaya,1520.1854001798426,2023-04-21,2023-04-21
406,Sinaya,1529.6050704632198,2023-04-21,
407,Karina,1500.0,2017-05-11,2022-10-21
408,Karina,1491.0131456624397,2022-10-21,
409,Frizzy,1500.0,2017-05-11,2023-06-07
410,Frizzy,1490.0,2023-06-07,2023-06-07
411,Frizzy,1480.28774368332,2023-06-07,
412,Fantasy,1500.0,2017-05-11,2022-05-26
413,Fantasy,1493.9001945083603,2022-05-26,2022-05-26
414,Fantasy,1483.9168471220032,2022-05-26,2022-05-26
415,Fantasy,1474.0920073948823,2022-05-26,2022-05-26
416,Fantasy,1464.6205397170315,2022-05-26,2022-10-21
417,Fantasy,1455.7446173817564,2022-10-21,
418,Stefani,1500.0,2017-05-11,2021-10-14
